Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,CAS,Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
Acetaldehyde,,75-07-0,TAC,2.7 E-6,1.0 E-2,B2,2B,
Acetamide,,60-35-5,RCHAS-E,2.0 E-5,7.0 E-2,NC,2B,
Acrylamide,,79-06-1,IRIS,1.3 E-3,4.5 E+0,B2,2A,
Acrylonitrile,,107-13-1,RCHAS-S,2.9 E-4,1 .0 E+0,B1,2A,
Allyl chloride,,107-05-1,RCHAS-S,6.0 E-6,2.1 E-2,C,3,
2-Aminoanthraquinone,,117-79-3,RCHAS-E,9.4 E-6,3.3 E-2,NC,3,
Aniline,,62-53-3,IRIS,1.6 E-6,5.7 E-3,B2,3,
Arsenic (inorganic),(inhalation),7440-38-2,TAC,3.3 E-3,1.2 E+1,A,1,
,(oral),,IRIS,,1.5 E+0,,,
Asbestos,,1332-21-4,TAC,6.3 E-2,2.2 E+2,A,1,
,,,,1.9 E-4 #,,,,
Benz[a]anthraceneBaP,(inhalation),56-55-3,TAC,1.1 E-4,3.9 E-1,B2,2A,
,(oral),,,,1.2 E+0,,,
Benzene,,71-43-2,TAC,2.9 E-5,1.0 E-1,A,1,
Benzidine,,92-87-5,RCHAS-S,1.4 E-1,5.0 E+2,A,1,
Benzo[a]pyrene,(inhalation),50-32-8,TAC,1.1 E-3,3.9 E+0,B2,2A,
,(oral),,,,1.2 E+1,,,
Benzo[b]fluoranthreneBaP,(inhalation),205-99-2,TAC,1.1 E-4,3.9 E-1,B2,2B,
,(oral),,,,1.2 E+0,,,
Benzo[j]fluoranthreneBaP,(inhalation),205-82-3,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
Benzo[k]fluoranthreneBaP,(inhalation),207-08-9,TAC,1.1 E-4,3.9 E-1,B2,2B,
,(oral),,,,1.2 E+0,,,
Benzyl chloride,,100-44-7,IRIS,4.9 E-5,1.7 E-1,B2,2B,
Beryllium,,7440-41-7,IRIS,2.4 E-3,8.4 E+0,B2,1,
Bis(2-chloroethyl) ether,,111-44-4,RCHAS-S,7.1 E-4,2.5 E+0,B2,3,
Bis(chloromethyl)ether,,542-88-1,RCHAS-S,1.3 E-2,4.6 E+1,A,1,
"1,3-Butadiene",,106-99-0,TAC,1.7 E-4,6.0 E-1,B2,2A,
Cadmium (and compounds),,7440-43-9,TAC,4.2 E-3,1.5 E+1,B1,1,
Carbon tetrachloride,,56-23-5,TAC,4.2 E-5,1.5 E-1,B2,2B,
Chlorinated dibenzo-p-dioxinsA,,1746-01-6,TAC,,,B2,2B,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,,,3.8 E+1,1.3 E+5,,,
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,,,3.8 E+1,1.3 E+5,,,
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,,,3.8 E+0,1.3 E+4,,,
Footnotes,,,Source Key,,,,,
A,see Appendix A,,TAC,Toxic Air Contaminant,,,"document,",
BaP,see benzo[a]pyrene TAC document,,,Office of Environmental Health Hazard,,,,
C,see Appendix C,,,Assessment (OEHHA),,,,
D,Listed by ARB as “Particulate Matter from Diesel-Fueled Engines”,,,RCHAS-S,Standard,Proposition,65,"document,"
,Scientific Review Panel unit risk “reasonable estimate” = 3.0 E-4 (μg/m3) -1.,,,OEHHA,,,,
,Range of unit risks in TAC document was 1.3 E-4 – 2.4 E-3 (μg/m3) -1.,,IRIS,Integrated,"Risk Information System,",,,
N1,Nickel refinery dust and nickel subsulfide are in Class A, nickel,,,U.S. Environmental Protection Agency,,,
,carbonyl is in Class B2,,,(US EPA),,,,
N2,Nickel compounds are in Class 1, metallic nickel is in Class 2B,,RCHAS-E,Expedited,Proposition,65,"document,"
NA,not available,,,OEHHA,,,,
NC,not classified,,ATES,Air Toxicology and,,Epidemiology,,
#,[100 PCM fibers/m3]-1 , see Appendix D,,,"Section document, OEHHA",,,
*,can be calculated using PEF factors contained in the benzo[a]pyrene,,PETS,Pesticide,and,Environmental,,
,TAC document,,,Toxicology Section Public Health Goal,,,,
P,See PCB chemical summary for risk categorization and TEF factors,,,"document, OEHHA",,,,
,A-1,,,,,,,
,,,,,,,,
Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,"Chemical Abstract
Service (CAS)
Number",Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,,,3.8 E-1,1.3 E+3,,,
"1,2,3,4,5,6,7,8-Octachlorodibenzo-p-dioxin",,,,3.8 E-3,1.3 E+1,,,
Chlorinated dibenzofuransA,,5120-73-19,TAC,,,B2,NC,
"2,3,7,8-Tetrachlorodibenzofuran",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,7,8-Pentachlorodibenzofuran",,,,1.9 E+0,6.5 E+3,,,
"2,3,4,7,8-Pentachlorodibenzofuran",,,,1.9 E+1,6.5 E+4,,,
"1,2,3,4,7,8-Hexachlorodibenzofuran",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,6,7,8-Hexachlorodibenzofuran",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,7,8,9-Hexachlorodibenzofuran",,,,3.8 E+0,1.3 E+4,,,
"2,3,4,6,7,8-Hexachlorodibenzofuran",,,,3.8 E+0,1.3 E+4,,,
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,,,3.8 E-1,1.3 E+3,,,
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,,,3.8 E-1,1.3 E+3,,,
"1,2,3,4,5,6,7,8-Octachlorodibenzofuran",,,,3.8 E-3,1.3 E+1,,,
Chlorinated paraffins,,108171-26-2,RCHAS-E,2.5 E-5,8.9 E-2,NC,2B,
Chloroform,,67-66-3,TAC,5.3 E-6,1.9 E-2,B2,2B,
4-Chloro-o-phenylenediamine,,95-83-0,RCHAS-E,4.6 E-6,1.6 E-2,NC,2B,
p-Chloro-o-toluidine,,95-69-2,RCHAS-E,7.7 E-5,2.7 E-1,NC,2A,
Chromium (hexavalent),(inhalation),18540-29-9,TAC,1.5 E-1,5.1 E+2,A,1,
,(oral),,RCHAS-S,,4.2 E-1,,,
Chrysene BaP,(inhalation),218-01-9,TAC,1.1 E-5,3.9 E-2,B2,3,
,(oral),,,,1.2 E-1,,,
Creosote,,8001-58-9,ATES,*,*,B1,2A,
p-Cresidine,,120-71-8,RCHAS-E,4.3 E-5,1.5 E-1,NC,2B,
Cupferron,,135-20-6,RCHAS-E,6.3 E-5,2.2 E-1,NC,NC,
"2,4-Diaminoanisole",,615-05-4,RCHAS-E,6.6 E-6,2.3 E-2,NC,2B,
"2,4-Diaminotoluene",,95-80-7,RCHAS-E,1.1 E-3,4.0 E+0,NC,2B,
"Dibenz[a,h]acridineBaP",(inhalation),226-36-8,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
"Dibenz[a,j]acridineBaP",(inhalation),224-42-0,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
"Dibenz[a,h]anthraceneBaP",,53-70-3,RCHAS-E,1.2 E-3,4.1 E+0,B2,2A,
"Dibenzo[a,e]pyreneBaP",(inhalation),192-65-4,TAC,1.1 E-3,3.9 E+0,NC,2B,
,(oral),,,,1.2 E+1,,,
"Dibenzo[a,h]pyrene BaP",(inhalation),189-64-0,TAC,1.1 E-2,3.9 E+1,NC,2B,
,(oral),,,,1.2 E+2,,,
Footnotes,,,Source Key,,,,,
A,see Appendix A,,TAC,Toxic Air Contaminant,,,"document,",
BaP,see benzo[a]pyrene TAC document,,,Office of Environmental Health Hazard,,,,
C,see Appendix C,,,Assessment (OEHHA),,,,
D,Listed by ARB as “Particulate Matter from Diesel-Fueled Engines”,,,RCHAS-S,Standard,Proposition,65,"document,"
,Scientific Review Panel unit risk “reasonable estimate” = 3.0 E-4 (μg/m3) -1.,,,OEHHA,,,,
,Range of unit risks in TAC document was 1.3 E-4 – 2.4 E-3 (μg/m3) -1.,,IRIS,Integrated,"Risk Information System,",,,
N1,Nickel refinery dust and nickel subsulfide are in Class A, nickel,,,U.S. Environmental Protection Agency,,,
,carbonyl is in Class B2,,,(US EPA),,,,
N2,Nickel compounds are in Class 1, metallic nickel is in Class 2B,,RCHAS-E,Expedited,Proposition,65,"document,"
NA,not available,,,OEHHA,,,,
NC,not classified,,ATES,Air Toxicology and,,Epidemiology,,
#,[100 PCM fibers/m3]-1 , see Appendix D,,,"Section document, OEHHA",,,
*,can be calculated using PEF factors contained in the benzo[a]pyrene,,PETS,Pesticide,and,Environmental,,
,TAC document,,,Toxicology Section Public Health Goal,,,,
P,See PCB chemical summary for risk categorization and TEF factors,,,"document, OEHHA",,,,
,A-2,,,,,,,
,,,,,,,,
Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,"Chemical Abstract
Service (CAS)
Number",Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
"Dibenzo[a,i]pyreneBaP",(inhalation),189-55-9,TAC,1.1 E-2,3.9 E+1,NC,2B,
,(oral),,,,1.2 E+2,,,
"Dibenzo[a,l]pyreneBaP",(inhalation),191-30-0,TAC,1.1 E-2,3.9 E+1,NC,2B,
,(oral),,,,1.2 E+2,,,
"7H-Dibenzo[c,g]carbazoleBaP",(inhalation),194-59-2,TAC,1.1 E-3,3.9 E+0,NC,2B,
,(oral),,,,1.2 E+1,,,
"1,2-Dibromo-3-chloropropane",,96-12-8,RCHAS-S,2.0 E-3,7.0 E+0,NC,2B,
"1,4-Dichlorobenzene",,106-46-7,RCHAS-S,1.1 E-5,4.0 E-2,NC,2B,
"3,3'-Dichlorobenzidine",,91-94-1,RCHAS-S,3.4 E-4,1.2 E+0,B2,2B,
"1,1-Dichloroethane",,75-34-3,RCHAS-E,1.6 E-6,5.7 E-3,C,NC,
Diesel exhaust,,NA,TAC,3.0 E-4 D,1.1 E+0,NC,2A,
Diethylhexylphthalate,,117-81-7,PETS,2.4 E-6,8.4 E-3,B2,2B,
p-Dimethylaminoazobenzene,,60-11-7,RCHAS-E,1.3 E-3,4.6 E+0,NC,2B,
"7,12-Dimethylbenz[a]anthraceneBaP",,57-97-6,RCHAS-E,7.1 E-2,2.5 E+2,NC,NC,
"1,6-DinitropyreneBaP",(inhalation),42397-64-8,TAC,1.1 E-2,3.9 E+1,NC,2B,
,(oral),,,,1.2 E+2,,,
"1,8-DinitropyreneBaP",(inhalation),42397-65-9,TAC,1.1 E-3,3.9 E+0,NC,2B,
,(oral),,,,1.2 E+1,,,
"2,4-Dinitrotoluene",,121-14-2,RCHAS-S,8.9 E-5,3.1 E-1,NC,2B,
"1,4-Dioxane",,123-91-1,RCHAS-S,7.7 E-6,2.7 E-2,B2,2B,
Epichlorohydrin,,106-89-8,RCHAS-S,2.3 E-5,8.0 E-2,B2,2A,
Ethyl benzene,(inhalation),100-41-4,TAC,2.5 E-6,8.7 E-3,D,2B,
,(oral),,,,1.1 E-2,,,
Ethylene dibromide,,106-93-4,TAC,7.1 E-5,2.5 E-1,B2,2A,
Ethylene dichloride,,107-06-2,TAC,2.1 E-5,7.2 E-2,B2,2B,
Ethylene oxide,,75-21-8,TAC,8.8 E-5,3.1 E-1,NC,1,
Ethylene thiourea,,96-45-7,RCHAS-E,1.3 E-5,4.5 E-2,UR,2B,
Formaldehyde,,50-00-0,TAC,6.0 E-6,2.1 E-2,B1,2A,
Hexachlorobenzene,,118-74-1,RCHAS-S,5.1 E-4,1.8 E+0,B2,2B,
Hexachlorocyclohexanes (technical grade),,608-73-1,RCHAS-S,1.1 E-3,4.0 E+0,B2,2B,
Hydrazine,(inhalation),302-01-2,IRIS,4.9 E-3,1.7 E+1,B2,2B,
,(oral),,,,3.0 E+0,,,
"Indeno[1,2,3-cd]pyreneBaP",(inhalation),193-39-5,TAC,1.1 E-4,3.9 E-1,B2,2B,
,(oral),,,,1.2 E+0,,,
Lead and lead compounds,(inhalation),7439-92-1,TAC,1.2 E-5,4.2 E-2,B2,2B,
,(oral),,,,8.5 E-3,,,
Lindane,,58-89-9,RCHAS-S,3.1 E-4,1.1 E+0,NC,2B,
Footnotes,,,Source Key,,,,,
A,see Appendix A,,TAC,Toxic Air Contaminant,,,"document,",
BaP,see benzo[a]pyrene TAC document,,,Office of Environmental Health Hazard,,,,
C,see Appendix C,,,Assessment (OEHHA),,,,
D,Listed by ARB as “Particulate Matter from Diesel-Fueled Engines”,,,RCHAS-S,Standard,Proposition,65,"document,"
,Scientific Review Panel unit risk “reasonable estimate” = 3.0 E-4 (μg/m3) -1.,,,OEHHA,,,,
,Range of unit risks in TAC document was 1.3 E-4 – 2.4 E-3 (μg/m3) -1.,,IRIS,Integrated,"Risk Information System,",,,
N1,Nickel refinery dust and nickel subsulfide are in Class A, nickel,,,U.S. Environmental Protection Agency,,,
,carbonyl is in Class B2,,,(US EPA),,,,
N2,Nickel compounds are in Class 1, metallic nickel is in Class 2B,,RCHAS-E,Expedited,Proposition,65,"document,"
NA,not available,,,OEHHA,,,,
NC,not classified,,ATES,Air Toxicology and,,Epidemiology,,
#,[100 PCM fibers/m3]-1 , see Appendix D,,,"Section document, OEHHA",,,
*,can be calculated using PEF factors contained in the benzo[a]pyrene,,PETS,Pesticide,and,Environmental,,
,TAC document,,,Toxicology Section Public Health Goal,,,,
P,See PCB chemical summary for risk categorization and TEF factors,,,"document, OEHHA",,,,
,A-3,,,,,,,
,,,,,,,,
Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,"Chemical Abstract
Service (CAS)
Number",Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
Methyl tert-butyl ether (MTBE),,1634-04-4,TAC,2.6 E-7,1.8 E-3,NC,3,
3-MethylcholanthreneBaP,,56-49-5,RCHAS-E,6.3 E-3,2.2 E+1,NC,NC,
5-MethylchryseneBaP,(inhalation),3697-24-3,TAC,1.1 E-3,3.9 E+0,NC,2B,
,(oral),,,,1.2 E+1,,,
"4, 4'-Methylene bis(2-chloroaniline) (MOCA)",,101-14-4,RCHAS-E,4.3 E-4,1.5 E+0,NC,2A,
Methylene chloride,,75-09-2,TAC,1.0 E-6,3.5 E-3,B2,2B,
"4,4'-Methylenedianiline",,101-77-9,RCHAS-E,4.6 E-4,1.6 E+0,NC,2B,
Michler's ketone,,90-94-8,RCHAS-E,2.5 E-4,8.6 E-1,NC,NC,
Naphthalene,,91-20-3,TAC,3.4 E-5,1.2 E-1,NC,2B,
Nickel (and compounds),,7440-02-0,TAC,2.6 E-4,9.1 E-1,"A, B2 N1","1,2BN2",
5-NitroacenaphtheneBaP,,602-87-9,RCHAS-E,3.7 E-5,1.3 E-1,NC,2B,
6-NitrochryseneBaP,(inhalation),7496-02-8,TAC,1.1 E-2,3.9 E+1,NC,2B,
,(oral),,,,1.2 E+2,,,
2-NitrofluoreneBaP,(inhalation),607-57-8,TAC,1.1 E-5,3.9 E-2,NC,2B,
,(oral),,,,1.2 E-1,,,
1-Nitropyrene BaP,(inhalation),5522-43-0,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
4-Nitropyrene BaP,(inhalation),57835-92-4,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
N-Nitrosodi-n-butylamine,,924-16-3,RCHAS-S,3.1 E-3,1.1 E+1,B2,2B,
N-Nitroso-N-methylethylamine,,10595-95-6,IRIS,6.3 E-3,2.2 E+1,B2,2B,
N-Nitrosodi-n-propylamine,,621-64-7,IRIS,2.0 E-3,7.0 E+0,B2,2B,
N-Nitrosodiethylamine,,55-18-5,RCHAS-S,1.0 E-2,3.6 E+1,B2,2A,
N-Nitrosodimethylamine,,62-75-9,RCHAS-S,4.6 E-3,1.6 E+1,B2,2A,
N-Nitrosodiphenylamine,,86-30-6,RCHAS-S,2.6 E-6,9.0 E-3,B2,3,
p-Nitrosodiphenylamine,,156-10-5,RCHAS-E,6.3 E-6,2.2 E-2,NC,3,
N-Nitrosomorpholine,,59-89-2,RCHAS-E,1.9 E-3,6.7 E+0,NC,2B,
N-Nitrosopiperidine,,100-75-4,RCHAS-E,2.7 E-3,9.4 E+0,NC,2B,
N-Nitrosopyrrolidine,,930-55-2,IRIS,6.0 E-4,2.1 E+0,B2,2B,
Pentachlorophenol,,87-86-5,RCHAS-S,5.1 E-6,1.8 E-2,B2,2B,
Perchloroethylene,(inhalation),127-18-4,TAC,5.9 E-6,2.1 E-2,NC,2A,
,(oral),,RCHAS-S,,5.1 E-2,,,
Polychlorinated biphenyls (PCBs),(high risk) P,1336-36-3,IRIS,5.7 E-4,2.0 E+0,B2,2A,
(for use with unspeciated,(low risk) P,,,1.1 E-4,4.0 E-1,,,
PCB mixtures),(low risk) P,,,1.1 E-4,4.0 E-1,,,
,(lowest risk) P,,,2.0 E-5,7.0 E-2,,,
Footnotes,,,Source Key,,,,,
A,see Appendix A,,TAC,Toxic Air Contaminant,,,"document,",
BaP,see benzo[a]pyrene TAC document,,,Office of Environmental Health Hazard,,,,
C,see Appendix C,,,Assessment (OEHHA),,,,
D,Listed by ARB as “Particulate Matter from Diesel-Fueled Engines”,,,RCHAS-S,Standard,Proposition,65,"document,"
,Scientific Review Panel unit risk “reasonable estimate” = 3.0 E-4 (μg/m3) -1.,,,OEHHA,,,,
,Range of unit risks in TAC document was 1.3 E-4 – 2.4 E-3 (μg/m3) -1.,,IRIS,Integrated,"Risk Information System,",,,
N1,Nickel refinery dust and nickel subsulfide are in Class A, nickel,,,U.S. Environmental Protection Agency,,,
,carbonyl is in Class B2,,,(US EPA),,,,
N2,Nickel compounds are in Class 1, metallic nickel is in Class 2B,,RCHAS-E,Expedited,Proposition,65,"document,"
NA,not available,,,OEHHA,,,,
NC,not classified,,ATES,Air Toxicology and,,Epidemiology,,
#,[100 PCM fibers/m3]-1 , see Appendix D,,,"Section document, OEHHA",,,
*,can be calculated using PEF factors contained in the benzo[a]pyrene,,PETS,Pesticide,and,Environmental,,
,TAC document,,,Toxicology Section Public Health Goal,,,,
P,See PCB chemical summary for risk categorization and TEF factors,,,"document, OEHHA",,,,
,A-4,,,,,,,
,,,,,,,,
Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,"Chemical Abstract
Service (CAS)
Number",Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
(for use where measurements or estimates are,,,,,,,,
available for PCB congeners) P,,,,,,,,
PCB 77,"3,3',4,4'-TCB",,,3.8 E-3,1.3 E+1,,,
PCB 81,"3,4,4',5-TCB",,,3.8 E-3,1.3 E+1,,,
PCB 105,"2,3,3',4,4'-PeCB",,,3.8 E-3,1.3 E+1,,,
PCB 114,"2,3,4,4',5-PeCB",,,1.9 E-2,6.5 E+1,,,
PCB 118,"2,3',4,4',5-PeCB",,,3.8 E-3,1.3 E+1,,,
PCB 123,"2',3,4,4',5-PeCB",,,3.8 E-3,1.3 E+1,,,
PCB 126,"3,3',4,4',5-PeCB",,,3.8 E+0,1.3 E+4,,,
PCB 156,"2,3,3',4,4',5-HxCB",,,1.9 E-2,6.5 E+1,,,
PCB 157,"2,3,3',4,4',5'-HxCB",,,1.9 E-2,6.5 E+1,,,
PCB 167,"2,3',4,4',5,5'-HxCB",,,3.8 E-4,1.3 E+0,,,
PCB 169,"3,3',4,4',5,5'-HxCB",,,3.8 E-1,1.3 E+3,,,
PCB 189,"2,3,3',4,4',5,5'-HpCB",,,3.8 E-3,1.3 E+1,,,
Potassium bromate,,7758-01-2,RCHAS-E,1.4 E-4,4.9 E-1,NC,2B,
"1,3-Propane sultone",,1120-71-4,RCHAS-E,6.9 E-4,2.4 E+0,NC,2B,
Propylene oxide,(inhalation),75-56-9,IRIS,3.7 E-6,1.3 E-2,B2,2B,
,(oral),,,,2.4 E-1,,,
"1,1,2,2-Tetrachloroethane",,79-34-5,IRIS,5.8 E-5,2.0 E-1,C,3,
Thioacetamide,,62-55-5,RCHAS-E,1.7 E-3,6.1 E+0,NC,2B,
"2,4-Toluene diisocyanate",,584-84-9,RCHAS-E,1.1 E-5,3.9 E-2,NC,2B,
"2,6-Toluene diisocyanate",,91-08-7,RCHAS-E,1.1 E-5,3.9 E-2,NC,2B,
"1,1,2-Trichloroethane (vinyl trichloride)",,79-00-5,IRIS,1.6 E-5,5.7 E-2,C,3,
Trichloroethylene,(inhalation),79-01-6,TAC,2.0 E-6,7.0 E-3,NC,2A,
,(oral),,RCHAS-S,,1.5 E-2,,,
"2,4,6-Trichlorophenol",,88-06-2,RCHAS-S,2.0 E-5,7.0 E-2,B2,2B,
Urethane,,51-79-6,RCHAS-S,2.9 E-4,1.0 E+0,NC,2B,
Vinyl chloride,,75-01-4,TAC,7.8 E-5,2.7 E-1,NC,1,
Footnotes,,,Source Key,,,,,
A,see Appendix A,,TAC,Toxic Air Contaminant,,,"document,",
BaP,see benzo[a]pyrene TAC document,,,Office of Environmental Health Hazard,,,,
C,see Appendix C,,,Assessment (OEHHA),,,,
D,Listed by ARB as “Particulate Matter from Diesel-Fueled Engines”,,,RCHAS-S,Standard,Proposition,65,"document,"
,Scientific Review Panel unit risk “reasonable estimate” = 3.0 E-4 (μg/m3) -1.,,,OEHHA,,,,
,Range of unit risks in TAC document was 1.3 E-4 – 2.4 E-3 (μg/m3) -1.,,IRIS,Integrated,"Risk Information System,",,,
N1,Nickel refinery dust and nickel subsulfide are in Class A, nickel,,,U.S. Environmental Protection Agency,,,
,carbonyl is in Class B2,,,(US EPA),,,,
N2,Nickel compounds are in Class 1, metallic nickel is in Class 2B,,RCHAS-E,Expedited,Proposition,65,"document,"
NA,not available,,,OEHHA,,,,
NC,not classified,,ATES,Air Toxicology and,,Epidemiology,,
#,[100 PCM fibers/m3]-1 , see Appendix D,,,"Section document, OEHHA",,,
*,can be calculated using PEF factors contained in the benzo[a]pyrene,,PETS,Pesticide,and,Environmental,,
,TAC document,,,Toxicology Section Public Health Goal,,,,
P,See chemical summary for risk categorization and TEF factors,,,"document, OEHHA",,,,
,,A-5,,,,,,
